Country,Product,Flow,2021
Belgium,"Coal, peat and oil shale",Imports (PJ),103.4490454
Belgium,"Coal, peat and oil shale",Exports (PJ),-2.939602522
Belgium,"Coal, peat and oil shale",Total energy supply (PJ),108.7702756
Belgium,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-17.45568611
Belgium,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Belgium,"Coal, peat and oil shale",Total final consumption (PJ),46.10889764
Belgium,"Coal, peat and oil shale",Industry (PJ),34.97366343
Belgium,"Coal, peat and oil shale",Transport (PJ),0.002445091
Belgium,"Coal, peat and oil shale",Residential (PJ),1.636708043
Belgium,"Coal, peat and oil shale",Commercial and public services (PJ),0
Belgium,"Coal, peat and oil shale",Other final consumption (PJ),9.496076893
Belgium,"Crude, NGL and feedstocks",Production (PJ),0
Belgium,"Crude, NGL and feedstocks",Imports (PJ),1327.205531
Belgium,"Crude, NGL and feedstocks",Exports (PJ),-160.6767817
Belgium,"Crude, NGL and feedstocks",Total energy supply (PJ),1174.088573
Belgium,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
Belgium,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-1302.188312
Belgium,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Belgium,"Crude, NGL and feedstocks",Industry (PJ),0
Belgium,"Crude, NGL and feedstocks",Transport (PJ),0
Belgium,"Crude, NGL and feedstocks",Residential (PJ),0
Belgium,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Belgium,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Belgium,Oil products,Production (PJ),0
Belgium,Oil products,Imports (PJ),1097.955718
Belgium,Oil products,Exports (PJ),-1119.566699
Belgium,Oil products,Total energy supply (PJ),-356.3756389
Belgium,Oil products,"Electricity, CHP and heat plants (PJ)",-1.059289708
Belgium,Oil products,"Oil refineries, transformation (PJ)",1296.09993
Belgium,Oil products,Total final consumption (PJ),772.8083405
Belgium,Oil products,Industry (PJ),60.27517828
Belgium,Oil products,Transport (PJ),311.5018221
Belgium,Oil products,Residential (PJ),101.3301603
Belgium,Oil products,Commercial and public services (PJ),25.64641925
Belgium,Oil products,Other final consumption (PJ),274.0547605
Belgium,Natural gas,Production (PJ),0.166860727
Belgium,Natural gas,Imports (PJ),740.9689197
Belgium,Natural gas,Exports (PJ),-105.7842917
Belgium,Natural gas,Total energy supply (PJ),635.6160903
Belgium,Natural gas,"Electricity, CHP and heat plants (PJ)",-140.8253417
Belgium,Natural gas,"Oil refineries, transformation (PJ)",0
Belgium,Natural gas,Total final consumption (PJ),466.6525219
Belgium,Natural gas,Industry (PJ),170.6051708
Belgium,Natural gas,Transport (PJ),4.043879395
Belgium,Natural gas,Residential (PJ),150.1982094
Belgium,Natural gas,Commercial and public services (PJ),83.05559895
Belgium,Natural gas,Other final consumption (PJ),58.74965908
Belgium,Nuclear,Production (PJ),549.0130911
Belgium,Nuclear,Imports (PJ),0
Belgium,Nuclear,Exports (PJ),0
Belgium,Nuclear,Total energy supply (PJ),549.0130911
Belgium,Nuclear,"Electricity, CHP and heat plants (PJ)",-549.0130911
